archive_id,page_id,page_name,partisan_lean,funding_entity,ad_creation_time,ad_delivery_start_time,ad_delivery_stop_time,ad_creative_body,spend,impressions
610374940584753,508887815910815,BPR,,BizPac Review,2023-03-30,2023-03-30,,TRUMP INDICTED! Like our page for updates!,49.5,499
904399184146719,508887815910815,BPR,,BizPac Review,2023-03-30,2023-03-30,,TRUMP INDICTED! Like our page for updates!,49.5,499
969948807328306,508887815910815,BPR,,BizPac Review,2023-03-30,2023-03-30,,TRUMP INDICTED! Like our page for updates!,49.5,499
598468845268632,508887815910815,BPR,,BizPac Review,2023-03-30,2023-03-30,,TRUMP INDICTED! Like our page for updates!,49.5,499
1420070512085041,508887815910815,BPR,,BizPac Review,2023-03-30,2023-03-30,,TRUMP INDICTED! Like our page for updates!,49.5,499
153335797658295,508887815910815,BPR,,BizPac Review,2023-03-30,2023-03-30,,TRUMP INDICTED! Like our page for updates!,49.5,499
1070512247195603,508887815910815,BPR,,BizPac Review,2023-03-30,2023-03-30,,TRUMP INDICTED! Like our page for updates!,49.5,499
3109745202655902,508887815910815,BPR,,BizPac Review,2023-03-30,2023-03-30,,TRUMP INDICTED! Like our page for updates!,49.5,499
1088227042569539,508887815910815,BPR,,BizPac Review,2023-03-30,2023-03-30,,TRUMP INDICTED! Like our page for updates!,49.5,499
776477697511119,508887815910815,BPR,,BizPac Review,2023-03-30,2023-03-30,,TRUMP INDICTED! Like our page for updates!,49.5,499
9380248248682347,508887815910815,BPR,,BizPac Review,2023-03-30,2023-03-30,,TRUMP INDICTED! Like our page for updates!,49.5,499
757085269189435,85452072376,Newsmax,right,"NEWSMAX MEDIA, INC.",2023-03-30,2023-03-30,,"BREAKING: Former President Donald Trump has been indicted by a Manhattan grand jury after a probe into payments made to porn star Stormy Daniels, becoming the first former U.S. president to face criminal charges. More Here: https://bit.ly/3zlGJ3c",2749.5,474999
911833066739826,508887815910815,BPR,,BizPac Review,2023-03-30,2023-03-30,,TRUMP INDICTED! Like our page for updates!,49.5,499
597684485572448,508887815910815,BPR,,BizPac Review,2023-03-30,2023-03-30,,TRUMP INDICTED! Like our page for updates!,49.5,499
5893329354117699,508887815910815,BPR,,BizPac Review,2023-03-30,2023-03-30,,TRUMP INDICTED! Like our page for updates!,49.5,499
6013790792069302,508887815910815,BPR,,BizPac Review,2023-03-30,2023-03-30,,TRUMP INDICTED! Like our page for updates!,49.5,499
1130123878382736,508887815910815,BPR,,BizPac Review,2023-03-30,2023-03-30,,TRUMP INDICTED! Like our page for updates!,49.5,499
2055230688014216,508887815910815,BPR,,BizPac Review,2023-03-30,2023-03-30,,TRUMP INDICTED! Like our page for updates!,49.5,499
1672220126569040,109092142462587,Adam Schiff,left,SCHIFF FOR SENATE,2023-03-24,2023-03-30,2023-04-03,"Hey folks, it’s Adam Schiff with a big update: The Manhattan District Attorney just indicted Donald Trump. Trump is as dangerous as ever, trying to incite his followers to protest his arrest. Will you rush a donation to our campaign today to help us defeat Trump and his MAGA movement?",449.5,8499
893314945056427,109092142462587,Adam Schiff,left,SCHIFF FOR SENATE,2023-03-24,2023-03-30,2023-04-03,"Team — the Manhattan District Attorney just indicted Donald J. Trump with criminal charges stemming from hush money payments he made to a porn star during the 2016 campaign.

Let’s be absolutely clear: Donald Trump is as dangerous as ever trying to incite his followers to protest his arrest — we saw where his last efforts at incitement brought the country.

There is no doubt Trump will weaponize this indictment for his political advantage — just like he did with impeachment — because winning the presidency may well be the only way he hopes to avoid going to jail.

It won’t be long before Trump drags Adam’s name into this mess, so please, chip in any amount to our campaign today. Together, we will defeat Trump and his MAGA movement and protect our democracy.",1249.5,17499
1856102584769748,109092142462587,Adam Schiff,left,SCHIFF FOR SENATE,2023-03-24,2023-03-30,2023-03-30,"Team — the Manhattan District Attorney just indicted Donald J. Trump with criminal charges stemming from hush money payments he made to a porn star during the 2016 campaign.

Let’s be absolutely clear: Donald Trump is as dangerous as ever trying to incite his followers to protest his arrest — we saw where his last efforts at incitement brought the country.

There is no doubt Trump will weaponize this indictment for his political advantage — just like he did with impeachment — because winning the presidency may well be the only way he hopes to avoid going to jail.

It won’t be long before Trump drags Adam’s name into this mess, so please, chip in any amount to our campaign today. Together, we will defeat Trump and his MAGA movement and protect our democracy.",49.5,499
894873668258913,109092142462587,Adam Schiff,left,SCHIFF FOR SENATE,2023-03-24,2023-03-30,2023-03-31,"Team — the Manhattan District Attorney just indicted Donald J. Trump with criminal charges stemming from hush money payments he made to a porn star during the 2016 campaign.

Let’s be absolutely clear: Donald Trump is as dangerous as ever trying to incite his followers to protest his arrest — we saw where his last efforts at incitement brought the country.

There is no doubt Trump will weaponize this indictment for his political advantage — just like he did with impeachment — because winning the presidency may well be the only way he hopes to avoid going to jail.

It won’t be long before Trump drags Adam’s name into this mess, so please, chip in any amount to our campaign today. Together, we will defeat Trump and his MAGA movement and protect our democracy.",49.5,4499
729408792255866,109092142462587,Adam Schiff,left,SCHIFF FOR SENATE,2023-03-24,2023-03-30,2023-03-31,"🚨🚨BREAKING NEWS: The Manhattan District Attorney’s office has indicted Donald Trump for criminal offenses — the first-ever indictment of an American president. 

Trump will respond as he always does — playing the victim and blaming others for having the courage to investigate him in the first place. And you know that Adam Schiff will be at the top of Trump’s attack list.

Rush $10 or more to Adam’s campaign right now to help us prepare for Trump’s inevitable attacks — and ensure we defeat him and his MAGA movement in 2024.",49.5,499
