Page ID,Page name,Disclaimer,Amount spent (USD),Number of ads in Library
7860876103,Joe Biden,BIDEN VICTORY FUND,1605505,1503
127225910653607,PragerU,PragerU,1464049,3364
851220855030432,J.P. Morgan,"JPMORGAN CHASE BANK, NA",1460449,192
122258358636926,Sound of Freedom Movie,"Sound of Freedom, LLC",1394224,115
309308412520731,Sandy Hook Promise,Sandy Hook Promise,1196075,151
107483817554072,WorkMoney,WorkMoney,1167612,732
192448150001,Jeff Anderson & Associates,Jeffrey R Anderson PA,1154535,293
309798029121030,Everytown for Gun Safety,Everytown for Gun Safety Action Fund Inc,1146179,429
114008535880,Foundation for Individual Rights and Expression,FOUNDATION FOR INDIVIDUAL RIGHTS IN EDUCATION,1043869,350
85452072376,NEWSMAX,"NEWSMAX MEDIA, INC.",1035430,383
18982436812,ACLU,American Civil Liberties Union,1021882,613
172758932738142,PhRMA,PHARMACEUTICAL RESEARCH AND MANUFACTURERS OF AMERICA,930586,296
106244251043808,America's Plastic Makers,"AMERICAN CHEMISTRY COUNCIL, INC.",800863,776
570092813023833,Matt Walsh,The Daily Wire,799179,388
6514736316,Walden University,Walden University,767369,19
103552914774916,Science Moms,"Potential Energy Coalition, Inc. with Facebook ad credits",732313,64
385473284886474,Hillsdale College,Hillsdale College,645385,317
101772951980698,Texas Destination Resort Alliance,Las Vegas Sands Corp.,643610,2733
113891694102,Energy Citizens,AMERICAN PETROLEUM INSTITUTE,634437,390
7030901126,Campaign for Tobacco-Free Kids,Campaign for Tobacco-Free Kids,619824,166
342294162453301,Planned Parenthood,Planned Parenthood Federation of America,590867,1861
2353537341582545,Proud Patriots,Proud Patriots,576373,5157
92925746942,Judicial Watch,Judicial Watch,555838,194
239452426714,American Action Network,American Action Network,529572,180
24330467048,Americans for Prosperity,AMERICANS FOR PROSPERITY,495315,961
104394262049761,Jeremy's Razors,The Daily Wire,457277,388
15771560300,Earthjustice,EARTHJUSTICE,452407,883
130268756992804,Yale Climate Connections,Yale Climate Connections with Facebook Ad Credits,449922,6
57259033959,AARP,AARP,444628,338
153080620724,Donald J. Trump,TRUMP SAVE AMERICA JOINT FUNDRAISING COMMITTEE,419359,709
592707041080920,Stand Together,Stand Together Chamber of Commerce Inc.,413008,296
18709174006,National Audubon Society,"NATIONAL AUDUBON SOCIETY, INC.",402233,2029
24413227922,Kamala Harris,BIDEN VICTORY FUND,387108,532
152759126824,Enbridge,Enbridge Inc.,373254,16
111994897803195,What's Good,Rare with Facebook Ad Credits,367313,32
428821014132730,Katie Porter,KATIE PORTER FOR SENATE,363362,2743
8492293163,Environmental Defense Fund,Environmental Defense Fund,355018,1357
106568024842114,Rideshare Assault Support,Citizen Ad Network LLC,350791,147
1461100540775171,The Tuttle Twins,LIBERTAS INSTITUTE,349097,818
6041057841,The Humane Society of the United States,"HUMANE SOCIETY OF THE UNITED STATES, THE",346544,441
203197030603239,8 Billion Trees,8 Billion Trees LLC,344263,51
140357056032320,NEA Today,National Education Association,343242,425
40217893542,AIPAC,AIPAC,342374,1035
